Intensity,Wavenumber
-45.25,4548.223286
61.5,4546.258445
7.782608696,4544.2941
-36,4542.33025
-137,4540.366895
-56,4538.404034
16.66666667,4536.441669
inf,4534.479798
4.96969697,4532.518421
23.42857143,4530.557539
12.16666667,4528.597152
1.416666667,4526.637258
2.625,4524.677859
-5.75,4522.718953
8.3,4520.760541
-2.928571429,4518.802623
11.60869565,4516.845198
197,4514.888266
2.55,4512.931828
-34.33333333,4510.975883
-12.5,4509.020431
-4.533333333,4507.065472
-3.714285714,4505.111006
2.8,4503.157032
16,4501.203551
3.411764706,4499.250563
12.9,4497.298066
63,4495.346062
#NAME?,4493.39455
-10.54545455,4491.443529
2.870967742,4489.493001
-66.66666667,4487.542964
-58,4485.593419
56.66666667,4483.644365
-3.142857143,4481.695802
0.970588235,4479.747731
-23.14285714,4477.80015
-22,4475.853061
-13.66666667,4473.906462
-4,4471.960354
0.192307692,4470.014737
-25,4468.06961
5.16,4466.124974
33.6,4464.180827
15.66666667,4462.237171
-6.5,4460.294004
-2.263157895,4458.351328
11.23529412,4456.409141
-5,4454.467444
12.58333333,4452.526236
-2.80952381,4450.585517
15.14285714,4448.645288
5.64,4446.705548
-4.222222222,4444.766296
3,4442.827534
47.66666667,4440.88926
20.5,4438.951475
3.923076923,4437.014179
-156.5,4435.077371
7.333333333,4433.141051
29.33333333,4431.205219
10.81818182,4429.269875
5,4427.335019
16.33333333,4425.400651
-29.14285714,4423.46677
12.75,4421.533377
3.6,4419.600471
50.8,4417.668052
-0.1875,4415.736121
13,4413.804677
3.571428571,4411.873719
-28.6,4409.943249
-5.5625,4408.013265
-18.22222222,4406.083767
-1.133333333,4404.154756
19.14285714,4402.226231
inf,4400.298193
1.25,4398.37064
3.333333333,4396.443574
55.66666667,4394.516993
-1.464285714,4392.590898
-16.75,4390.665288
6.909090909,4388.740164
27.2,4386.815525
12.90909091,4384.891371
-15.4,4382.967703
21.33333333,4381.044519
10.1,4379.121821
2.84375,4377.199606
0.333333333,4375.277877
3.571428571,4373.356632
#NAME?,4371.435871
15.78571429,4369.515595
4.956521739,4367.595803
7.636363636,4365.676494
7.916666667,4363.75767
16.5,4361.839329
13.66666667,4359.921472
-9.4,4358.004099
9.727272727,4356.087209
5.538461538,4354.170802
17.57142857,4352.254878
7,4350.339437
-4.526315789,4348.424479
6.941176471,4346.510004
-10.61111111,4344.596012
1,4342.682502
-0.05,4340.769475
14.6,4338.85693
4.25,4336.944867
26,4335.033286
99,4333.122187
5.538461538,4331.21157
4.6,4329.301435
-9.8,4327.391781
11.38461538,4325.482609
68.66666667,4323.573918
3.181818182,4321.665708
-5.8125,4319.757979
-28.22222222,4317.850732
-5,4315.943965
-35.2,4314.037679
5.333333333,4312.131873
4.555555556,4310.226549
-1.862068966,4308.321704
25.5,4306.41734
12.58823529,4304.513456
-33.66666667,4302.610052
24,4300.707127
2.652173913,4298.804683
5.16,4296.902718
-17.5,4295.001233
-4.916666667,4293.100228
-2.1,4291.199701
