Uncorrected cm⁻¹	Corrected	Intensity	Symmetry
Label
1	200	188	0.01	A"
2	250	236	1.47	A'
3	301	284	1.23	A'
4	318	299	18.30	A"
5	375	353	16.99	A'
6	687	647	7.42	A'
7	722	680	22.65	A"
8	930	876	5.34	A"
9	975	918	13.89	A"
10	992	935	43.66	A'
11	1057	995	38.84	A'
12	1082	1019	220.66	A'
13	1368	1289	4.19	A"
14	1387	1307	15.93	A'
15	1465	1380	20.53	A"
16	1472	1387	10.93	A'
17	1475	1390	0.01	A"
18	1493	1406	35.42	A'
19	3085	2906	4.54	A"
20	3086	2907	3.10	A'
21	3191	3006	0.16	A"
22	3193	3008	5.72	A'
23	3203	3017	2.10	A"
24	3204	3018	1.83	A'
