Uncorrected cm⁻¹	Corrected	Intensity
1	-97	-91	4.15
2	-59	-56	13.23
3	-48	-45	22.05
4	25	23	2.70
5	40	37	10.72
6	41	39	16.75
7	51	48	3.96
8	56	53	21.39
9	71	67	1.81
10	83	78	2.43
11	93	88	0.32
12	100	94	1.23
13	159	150	0.33
14	172	162	0.57
15	222	209	0.32
16	227	213	5.49
17	230	217	7.94
18	270	254	1.22
19	298	281	8.01
20	302	285	4.19
21	307	289	2.23
22	318	299	20.27
23	319	301	27.73
24	320	301	9.17
25	378	356	21.92
26	380	358	4.41
27	384	362	22.54
28	687	647	6.38
29	688	648	6.97
30	691	651	4.26
31	723	681	20.58
32	723	682	22.65
33	726	684	17.34
34	936	881	6.71
35	939	885	9.11
36	940	886	5.43
37	969	912	13.04
38	973	916	8.45
39	973	917	17.87
40	989	931	31.44
41	991	933	33.53
42	991	934	51.16
43	1061	999	21.22
44	1062	1000	54.09
45	1064	1002	83.54
46	1069	1007	119.45
47	1078	1015	265.00
48	1084	1021	262.00
49	1362	1283	5.87
50	1369	1290	2.87
51	1372	1293	4.00
52	1384	1304	17.32
53	1388	1307	17.81
54	1390	1309	22.86
55	1453	1369	20.34
56	1456	1372	20.69
57	1462	1377	21.91
58	1463	1378	24.65
59	1465	1380	24.03
60	1471	1386	3.87
61	1472	1387	2.25
62	1474	1389	12.05
63	1475	1389	0.85
64	1489	1403	27.92
65	1490	1404	29.46
66	1493	1406	35.26
67	3084	2906	3.97
68	3092	2913	7.50
69	3092	2913	3.99
70	3093	2914	0.89
71	3098	2918	3.94
72	3101	2921	4.76
73	3191	3006	3.12
74	3199	3014	0.82
75	3201	3016	1.22
76	3201	3016	6.77
77	3202	3016	0.38
78	3204	3018	1.33
79	3204	3019	4.70
80	3206	3020	2.91
81	3208	3022	1.99
82	3209	3023	2.14
83	3214	3027	2.36
84	3216	3030	2.10
